issue_key,phase,planned_start_kst,planned_end_kst,summary
AIMP-1,pre_ai,2026-02-01 09:00,2026-02-02 19:00,FastAPI 사용자 인증 API 구현
AIMP-2,pre_ai,2026-02-02 09:00,2026-02-03 19:00,단어장 생성/수정 API 구현
AIMP-3,pre_ai,2026-02-03 09:00,2026-02-04 20:00,단어 등록 API 및 검증 로직 추가
AIMP-4,pre_ai,2026-02-04 09:00,2026-02-05 20:00,단어 조회 페이징/정렬 API 구현
AIMP-5,pre_ai,2026-02-05 09:00,2026-02-06 20:00,예문 등록/조회 API 구현
AIMP-6,pre_ai,2026-02-06 09:00,2026-02-07 20:00,학습 세션 시작/종료 API 구현
AIMP-7,pre_ai,2026-02-07 09:00,2026-02-08 20:00,오답노트 저장 API 구현
AIMP-8,pre_ai,2026-02-08 09:00,2026-02-09 20:00,퀴즈 채점 로직 API 구현
AIMP-9,pre_ai,2026-02-09 09:00,2026-02-10 20:00,관리자 사용자 조회 API 구현
AIMP-10,pre_ai,2026-02-10 09:00,2026-02-11 20:00,학습 통계 기본 API 구현
AIMP-11,pre_ai,2026-02-11 09:00,2026-02-12 20:00,레벨 테스트 문제 생성 API 구현
AIMP-12,pre_ai,2026-02-12 09:00,2026-02-13 20:00,학습 리마인더 스케줄 API 구현
AIMP-13,pre_ai,2026-02-13 09:00,2026-02-14 20:00,pytest 기반 API 테스트 초안 추가
AIMP-14,pre_ai,2026-02-14 09:00,2026-02-15 20:00,CI 파이프라인 기본 구성
AIMP-15,pre_ai,2026-02-15 09:00,2026-02-16 20:00,도입 전 성능/리드타임 기준선 기록
AIMP-16,post_ai,2026-03-01 00:10,2026-03-01 18:00,AI 프롬프트 템플릿 공통화
AIMP-17,post_ai,2026-03-02 09:00,2026-03-02 18:00,단어 조회 캐시 적용
AIMP-18,post_ai,2026-03-03 09:00,2026-03-03 18:00,스키마/DTO 정리 리팩터링
AIMP-19,post_ai,2026-03-04 09:00,2026-03-04 18:00,예외 처리 공통 미들웨어 추가
AIMP-20,post_ai,2026-03-05 09:00,2026-03-05 18:00,퀴즈 난이도 조절 로직 개선
AIMP-21,post_ai,2026-03-06 09:00,2026-03-06 18:00,학습 추천 API 추가
AIMP-22,post_ai,2026-03-07 09:00,2026-03-07 18:00,코드 리뷰 기반 리팩터링 반영
AIMP-23,post_ai,2026-03-08 09:00,2026-03-08 18:00,테스트 데이터 빌더 추가
AIMP-24,post_ai,2026-03-09 09:00,2026-03-09 18:30,문서화 자동화 엔드포인트 정리
AIMP-25,post_ai,2026-03-12 09:00,2026-03-12 18:30,퀴즈 난이도 조절 로직 개선(v2)
AIMP-26,post_ai,2026-03-15 09:00,2026-03-15 18:30,캐시 최적화로 응답속도 개선
AIMP-27,post_ai,2026-03-18 09:00,2026-03-18 18:30,리뷰 보조 리팩터링 반영(v2)
AIMP-28,post_ai,2026-03-21 09:00,2026-03-21 18:30,테스트 데이터 빌더 개선(v2)
AIMP-29,post_ai,2026-03-24 09:00,2026-03-24 18:30,도입 후 회고 및 품질 지표 정리
AIMP-30,post_ai,2026-03-27 09:00,2026-03-27 18:30,성능 측정 대시보드 개선
